;gender;date;hitCreationDate;householdIncome;householdSize;locationCity;locationCountry;locationRegion;maritalStatus;postToCompletionSecs;workerId;yearOfBirth
881;male;2020-10-22 07:51:04.981;2020-10-22 07:48:01.000;$40,000-$59,999;3;nagercoil;IN;tn;single;183;d6b1c88a0a952c92c8e0228b182562b7;1996
882;male;2020-10-22 07:43:18.582;2020-10-22 07:03:02.000;$25,000-$39,999;4;norcross;US;ga;married;2416;e84a57cf6a74b72de1890966171f9c68;1921
883;male;2020-10-22 07:35:45.070;2020-10-22 07:33:01.000;$40,000-$59,999;3;westminster;US;ca;married;164;7a811422b5fc2305d284177c6757b629;1988
884;female;2020-10-22 07:28:57.300;2020-10-22 06:48:00.000;$75,000-$99,999;3;sturgis;US;mi;married;2457;6e5f4118df0345dbf34d532b2d8c73b9;1985
885;female;2020-10-22 07:26:30.507;2020-10-22 07:18:01.000;$10,000-$14,999;3;indore;IN;mp;married;509;3a75dcb3e67df342787c82958805da9f;1991
886;male;2020-10-22 07:21:37.705;2020-10-22 04:18:01.000;$100,000 or more;4;stuttgart;DE;bw;married;11016;402b5d45d1c1ec1212ab75f7e1db61db;1980
887;male;2020-10-22 06:43:16.195;2020-10-22 05:33:00.000;$10,000-$14,999;3;chennai;IN;tn;married;4216;38986920592f028fd0b06ea9a6b93b33;1987
888;female;2020-10-22 06:35:25.466;2020-10-22 06:33:00.000;$10,000-$14,999;3;chennai;IN;tn;married;145;d6015464661200388f983e1782c4ad7c;1988
889;male;2020-10-22 06:20:59.551;2020-10-22 06:18:01.000;$25,000-$39,999;4;lucknow;IN;up;married;178;2d68486d54385f4c59eef46752ae212b;1990
890;male;2020-10-22 06:04:54.185;2020-10-22 06:03:01.000;$100,000 or more;4;karachi;PK;sd;married;113;358b4d044e22296237444ea43ed68732;1995
891;female;2020-10-22 05:59:39.613;2020-10-22 05:48:08.000;$15,000-$24,999;3;new york;US;ny;married;691;e664e3011d0571f4c0c6cc49d75e1fbf;1961
892;male;2020-10-22 05:27:16.572;2020-10-22 05:03:00.000;$25,000-$39,999;4;portland;US;me;married;1456;620d371da1eb613104af9ce321f84be6;1967
893;female;2020-10-22 05:19:17.498;2020-10-22 05:18:01.000;$60,000-$74,999;3;chennai;IN;tn;married;76;3c3ff4e3b9bd952cc5b19674a8e4076c;1992
894;female;2020-10-22 05:14:38.944;2020-10-22 02:48:01.000;$40,000-$59,999;4;sivakasi;IN;tn;married;8797;a67a0bffafd4758dc37296222a654881;1989
895;male;2020-10-22 04:54:48.693;2020-10-22 04:48:00.000;$75,000-$99,999;1;sterling;US;va;single;408;4c4dc6d28c719fca3b60634a5ada513b;1993
896;male;2020-10-22 04:33:55.247;2020-10-22 04:33:01.000;$60,000-$74,999;4;irving;US;tx;married;54;92d094a65b9386b2b0e415edab76025e;1982
897;male;2020-10-22 04:05:07.614;2020-10-22 04:03:00.000;$60,000-$74,999;2;san diego;US;ca;married;127;2a0771c430501b384e1d7dac6043c076;1990
898;male;2020-10-22 03:49:27.131;2020-10-22 03:48:01.000;$10,000-$14,999;1;portland;US;me;single;86;2e179ccf36790aad4321b694401c66ed;1988
899;female;2020-10-22 03:44:57.850;2020-10-22 03:33:01.000;$40,000-$59,999;4;murrieta;US;ca;married;716;a3bca216b614638702744092c74b15c6;1964
900;male;2020-10-22 03:36:22.657;2020-10-22 03:03:01.000;$15,000-$24,999;5+;sao caetano do sul;BR;sp;single;2001;eed8b60874bf9cd57d334bd008021179;1992
901;male;2020-10-22 03:27:15.742;2020-10-22 02:33:01.000;$40,000-$59,999;1;new york;US;ny;single;3254;cd1fc2f5464d6c42bb03606b81c44acd;1994
902;male;2020-10-22 03:25:25.224;2020-10-22 03:18:00.000;$75,000-$99,999;1;denver;US;co;single;445;aa16f08b8d80a481622f7ca1851a7ae7;1984
903;female;2020-10-22 02:20:05.543;2020-10-22 02:18:00.000;$75,000-$99,999;2;chennai;IN;tn;married;125;ea498642ea89fa2de7e10d779573e3ca;1999
904;female;2020-10-22 02:20:04.305;2020-10-22 02:18:00.000;$75,000-$99,999;2;chennai;IN;tn;married;124;ea498642ea89fa2de7e10d779573e3ca;1999
905;female;2020-10-22 02:20:04.296;;$75,000-$99,999;2;chennai;IN;tn;married;NA;ea498642ea89fa2de7e10d779573e3ca;1999
906;female;2020-10-22 02:19:47.782;2020-10-21 23:03:00.000;$75,000-$99,999;2;costa mesa;US;ca;single;11807;18d4234bcf5be17873244f848262162b;1990
